Subject,Time,Age,Gender-categorical,Gender-free-response,Ethnicity,Race,Language,Fluency,Loops,Difficulty,Fun,Clarity,Strategy,Feedback
qnz9x517dryezj4ubt2ugqnu.,16.65,24,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,5,4,5,I tried to determine the spread and possible average of each number.,
qr8vewgc6ztrr4xft956iugr.,79.36,21,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,5,4,5,no,
qzfg5c2l3alspinn9ir3loo2.,17.83,44,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,2,4,Looked for patterns and guessed,
r7ds1nnw53cxvgcdga3i0xr9.,16.45,27,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,1,4,4,5,try to remember to the best of my ability,
ryp8pbrx06o3lf9kk3xmrvd4.,16.78,25,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,4,5,I tried to use the past knowledge of the patterns in the puzzle to generate how the future numbers would result,I enjoyed the game but had a hard time finding an overall consistency in the puzzle
s7svn5ooz9hjgnhh8y2rk49w.,23.04,59,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,4,5,"Yes, just looked for the averages of the first four tries.",
sk8xhhz7i16yvcknat7l6myb.,12.26,18,Male,,Not Hispanic or Latino,['Asian'],No,Very well,1,5,4,5,no,no
so1kmb7czojgpong8ho5kokg.,13.0,21,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,5,3,5,I typically went for the row that had the highest number from the first four options.,Have a great day!
t2u2ja58o53je7gqs3l6gs9f.,24.82,46,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,5,5,"Tried to use an average of available numbers. Did not write anything down. Sometimes went with a ""hunch""",
tj5bifpb7nbzq1y66xilapy6.,28.98,19,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,5,5,5,look at the average number of points a given machine gives.,
u7bsetm5waqp5rswdz0kiidq.,25.93,20,Female,,Not Hispanic or Latino,['Asian'],Yes,Very well,1,5,4,4,No,
u97vx3l7dr1vnjgzejub79zv.,24.83,19,Female,,Not Hispanic or Latino,['White'],Yes,Well,2,3,5,5,picked the side with the highest numbers on average,
uaq3lblq9duhiufub884193b.,15.55,22,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,1,5,4,5,No,No
uc73zzy4ijmhy7xle0l8tv6f.,13.0,35,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,5,4,5,easy strategies ,very nice
v129jk07ciltivmjwqcm78ol.,17.79,21,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,5,5,5,I tried to mentally remember the numbers to average them out and choose the best machine,
v1f3sm3qhteclcemowf7uhwk.,12.0,40,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,1,4,5,5,"if the trend is higher, pick the side that is higher previous number",
vqn8pian81yhukhg0mzpolol.,29.23,32,Female,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,2,5,5,5,Yes,No
wugb7esovvyay7hltfl8153g.,20.43,18,Female,,Hispanic or Latino,['White'],No,Very well,1,3,2,2,i just picked the machines that had the bigger numbers all the way through,
wyx9wrvsnqb4mdvsmwh9e732.,16.58,25,Female,,Not Hispanic or Latino,['Asian'],No,Very well,1,5,4,5,no,
x43ns0nnesa95h5pltokft2t.,17.06,31,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,3,2,2,,
xfucttob88f1yfubgjhreejv.,16.26,28,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,1,5,4,5,None,
y499346vdq7cv9i092jpbydk.,15.43,18,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,1,4,4,5,,
yjqxq9j80ck0kdjn648s83nd.,15.1,28,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,2,4,5,I tried to keep a calculation in my head,None
ynqn6okc1pjgks2ugz6vyntw.,21.13,19,Male,,Not Hispanic or Latino,['Asian'],No,Very well,1,4,4,5,Nope,"No comment, interesting study!"
yq58plsdt7gzeny0jok0dwgh.,17.18,29,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,4,5,no,good luck with your data collection
zc2kx8286yy7yegrp80lg824.,42.32,19,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,4,4,n/a,n/a
